concept,tf-idf
1,1367.734
767,177.04796
1533,100.20547
2299,66.04451
3065,48.682266
3831,37.99004
4597,30.669579
5363,25.772964
6129,21.746904
6895,18.543804
7661,15.533504
8427,13.630923
9193,12.426803
9959,10.223192
10725,9.694918
11491,7.4175215
12257,7.4175215
13023,6.8154616
13789,6.8154616
14555,6.8154616
15321,6.8154616
16087,3.7087607
16853,3.7087607
17619,3.7087607
18385,3.7087607
19151,3.7087607
19917,3.7087607
20683,3.7087607
21449,3.7087607
22215,3.7087607
22981,3.7087607
23747,3.7087607
24513,3.7087607
25279,3.7087607
26045,3.7087607
26811,3.7087607
27577,3.7087607
28343,3.7087607
29109,3.7087607
29875,3.7087607
30641,3.7087607
