concept,frequency,num texts,tf-idf,corpus tf-idf,filename
patients,265,86,143.41081,143.41078,"pubmed_small#100,pubmed_small#106,pubmed_small#112,pubmed_small#116,pubmed_small#117,pubmed_small#120,pubmed_small#126,pubmed_small#136,pubmed_small#138,pubmed_small#145,pubmed_small#148,pubmed_small#149,pubmed_small#15,pubmed_small#157,pubmed_small#16,pubmed_small#160,pubmed_small#162,pubmed_small#163,pubmed_small#165,pubmed_small#167,pubmed_small#170,pubmed_small#171,pubmed_small#178,pubmed_small#179,pubmed_small#180,pubmed_small#186,pubmed_small#19,pubmed_small#191,pubmed_small#192,pubmed_small#194,pubmed_small#197,pubmed_small#198,pubmed_small#206,pubmed_small#213,pubmed_small#217,pubmed_small#22,pubmed_small#220,pubmed_small#223,pubmed_small#23,pubmed_small#24,pubmed_small#241,pubmed_small#25,pubmed_small#253,pubmed_small#255,pubmed_small#258,pubmed_small#260,pubmed_small#264,pubmed_small#269,pubmed_small#271,pubmed_small#274,pubmed_small#276,pubmed_small#28,pubmed_small#280,pubmed_small#284,pubmed_small#287,pubmed_small#289,pubmed_small#293,pubmed_small#30,pubmed_small#31,pubmed_small#32,pubmed_small#36,pubmed_small#4,pubmed_small#42,pubmed_small#43,pubmed_small#46,pubmed_small#49,pubmed_small#5,pubmed_small#51,pubmed_small#57,pubmed_small#60,pubmed_small#62,pubmed_small#63,pubmed_small#65,pubmed_small#69,pubmed_small#7,pubmed_small#70,pubmed_small#73,pubmed_small#79,pubmed_small#80,pubmed_small#83,pubmed_small#86,pubmed_small#9,pubmed_small#91,pubmed_small#94,pubmed_small#95,pubmed_small#96"
il,52,4,97.42778,97.42778,"pubmed_small#267,pubmed_small#285,pubmed_small#52,pubmed_small#75"
hyperplasia,168,80,96.19361,96.19364,"pubmed_small#108,pubmed_small#11,pubmed_small#112,pubmed_small#114,pubmed_small#115,pubmed_small#116,pubmed_small#118,pubmed_small#120,pubmed_small#130,pubmed_small#132,pubmed_small#133,pubmed_small#138,pubmed_small#14,pubmed_small#143,pubmed_small#144,pubmed_small#148,pubmed_small#150,pubmed_small#153,pubmed_small#154,pubmed_small#156,pubmed_small#158,pubmed_small#16,pubmed_small#160,pubmed_small#164,pubmed_small#166,pubmed_small#180,pubmed_small#184,pubmed_small#186,pubmed_small#187,pubmed_small#192,pubmed_small#194,pubmed_small#199,pubmed_small#201,pubmed_small#203,pubmed_small#204,pubmed_small#219,pubmed_small#229,pubmed_small#23,pubmed_small#231,pubmed_small#239,pubmed_small#24,pubmed_small#241,pubmed_small#245,pubmed_small#257,pubmed_small#259,pubmed_small#260,pubmed_small#263,pubmed_small#264,pubmed_small#268,pubmed_small#270,pubmed_small#273,pubmed_small#279,pubmed_small#280,pubmed_small#284,pubmed_small#29,pubmed_small#293,pubmed_small#296,pubmed_small#3,pubmed_small#32,pubmed_small#35,pubmed_small#37,pubmed_small#44,pubmed_small#46,pubmed_small#49,pubmed_small#5,pubmed_small#54,pubmed_small#56,pubmed_small#6,pubmed_small#60,pubmed_small#65,pubmed_small#66,pubmed_small#70,pubmed_small#71,pubmed_small#72,pubmed_small#75,pubmed_small#8,pubmed_small#88,pubmed_small#93,pubmed_small#96,pubmed_small#97"
cells,100,39,88.46066,88.460655,"pubmed_small#102,pubmed_small#108,pubmed_small#118,pubmed_small#119,pubmed_small#123,pubmed_small#130,pubmed_small#132,pubmed_small#133,pubmed_small#141,pubmed_small#144,pubmed_small#156,pubmed_small#158,pubmed_small#163,pubmed_small#178,pubmed_small#185,pubmed_small#192,pubmed_small#193,pubmed_small#2,pubmed_small#210,pubmed_small#226,pubmed_small#239,pubmed_small#24,pubmed_small#250,pubmed_small#255,pubmed_small#267,pubmed_small#269,pubmed_small#273,pubmed_small#280,pubmed_small#290,pubmed_small#296,pubmed_small#35,pubmed_small#37,pubmed_small#5,pubmed_small#65,pubmed_small#72,pubmed_small#75,pubmed_small#80,pubmed_small#84,pubmed_small#86"
cell,88,39,77.84536,77.84538,"pubmed_small#102,pubmed_small#108,pubmed_small#109,pubmed_small#111,pubmed_small#119,pubmed_small#125,pubmed_small#130,pubmed_small#14,pubmed_small#143,pubmed_small#156,pubmed_small#163,pubmed_small#178,pubmed_small#179,pubmed_small#185,pubmed_small#193,pubmed_small#199,pubmed_small#2,pubmed_small#210,pubmed_small#226,pubmed_small#229,pubmed_small#24,pubmed_small#250,pubmed_small#269,pubmed_small#270,pubmed_small#273,pubmed_small#3,pubmed_small#31,pubmed_small#37,pubmed_small#44,pubmed_small#47,pubmed_small#5,pubmed_small#52,pubmed_small#56,pubmed_small#71,pubmed_small#72,pubmed_small#80,pubmed_small#84,pubmed_small#86,pubmed_small#99"
group,59,21,68.05366,68.053665,"pubmed_small#111,pubmed_small#113,pubmed_small#130,pubmed_small#132,pubmed_small#153,pubmed_small#170,pubmed_small#180,pubmed_small#190,pubmed_small#192,pubmed_small#205,pubmed_small#263,pubmed_small#274,pubmed_small#275,pubmed_small#33,pubmed_small#42,pubmed_small#49,pubmed_small#54,pubmed_small#65,pubmed_small#95,pubmed_small#98,pubmed_small#99"
disease,72,38,64.50392,64.50391,"pubmed_small#110,pubmed_small#117,pubmed_small#123,pubmed_small#136,pubmed_small#138,pubmed_small#148,pubmed_small#156,pubmed_small#176,pubmed_small#179,pubmed_small#182,pubmed_small#187,pubmed_small#192,pubmed_small#20,pubmed_small#206,pubmed_small#208,pubmed_small#238,pubmed_small#269,pubmed_small#270,pubmed_small#284,pubmed_small#285,pubmed_small#287,pubmed_small#289,pubmed_small#29,pubmed_small#34,pubmed_small#36,pubmed_small#42,pubmed_small#45,pubmed_small#49,pubmed_small#55,pubmed_small#56,pubmed_small#62,pubmed_small#65,pubmed_small#77,pubmed_small#84,pubmed_small#95,pubmed_small#96,pubmed_small#97,pubmed_small#99"
intimal,42,10,61.97819,61.97819,"pubmed_small#132,pubmed_small#153,pubmed_small#154,pubmed_small#199,pubmed_small#231,pubmed_small#257,pubmed_small#273,pubmed_small#284,pubmed_small#71,pubmed_small#88"
breast,36,7,58.700634,58.700634,"pubmed_small#106,pubmed_small#109,pubmed_small#112,pubmed_small#133,pubmed_small#192,pubmed_small#194,pubmed_small#75"
treatment,75,50,58.252605,58.25259,"pubmed_small#1,pubmed_small#106,pubmed_small#117,pubmed_small#118,pubmed_small#120,pubmed_small#13,pubmed_small#145,pubmed_small#153,pubmed_small#155,pubmed_small#16,pubmed_small#160,pubmed_small#166,pubmed_small#169,pubmed_small#179,pubmed_small#184,pubmed_small#187,pubmed_small#193,pubmed_small#203,pubmed_small#214,pubmed_small#217,pubmed_small#23,pubmed_small#241,pubmed_small#25,pubmed_small#257,pubmed_small#262,pubmed_small#263,pubmed_small#267,pubmed_small#27,pubmed_small#270,pubmed_small#273,pubmed_small#276,pubmed_small#280,pubmed_small#284,pubmed_small#285,pubmed_small#286,pubmed_small#292,pubmed_small#293,pubmed_small#299,pubmed_small#30,pubmed_small#33,pubmed_small#43,pubmed_small#49,pubmed_small#62,pubmed_small#69,pubmed_small#7,pubmed_small#82,pubmed_small#86,pubmed_small#9,pubmed_small#96,pubmed_small#99"
